id,title,brand,part_type,location,quantity,cost,notes,photo
53,Galileo 2 extruder,LDO,Electronics,Bin 1,4,0.00,One built,OLkvTCO1qL6a67BTi8Cb8g.Photo.232553.jpg
54,Galileo 2 extruder,,Electronics,Bin 4,1,0.00,,N5qL4JGSTfygSL7OOZTzoZ.Photo.222229.jpg
151,GE5C bearing,,Motion,Bearings,12,0.00,,ctnKkdKefGMvfdqBuaxOOk.Photo.210845.jpg
55,H36 combo toolboard,Fystec,Electronics,Bin 4,3,0.00,,
230,Handles aluminum,LDO,Hardware,Bin 3,2,0.00,,hjvRJ2TkU0oTmrasmczwSU.Photo.232418.jpg
231,Heatcore 4 APLALS,Mellow,Hardware,Hot End,3,0.00,,0BvoAMO8ydq8QJJV1gjkjd.Photo.202320.jpg
232,Heatcore 4 thermistor,Mellow,Hardware,Hot End,1,0.00,,RZ1reIGhL9UbXK0CZgd6Vi.Photo.202521.jpg
275,Heat shrink braided cable sleeving id 4mm,,Misc,Bin 4,1,0.00,,jH8s8resJQteggWcjcw7hc.Photo.214652.jpg
276,Hextrudort low plus CNC extruder,,Misc,Bin 2,1,0.00,,UMIr431nlnsxBlPSDW6QEE.Photo.225926.jpg
233,Hotend Dragon HF,Phaetus,Hardware,Hot End,1,0.00,,j8fF6TOuJQTMciOkHSlFj5.Photo.235849.jpg
56,Hotend extensions,,Electronics,Hot End,2,0.00,,ZEpyzUL5NgmWQNNOXqqyWm.Photo.205602.jpg
234,Hotend v6,,Hardware,Hot End,2,0.00,,tFc3sKB9BKnL5jWNin6kEO.Photo.003917.jpg
152,Idler 20teeth GT2 bore 5 belt 6,,Motion,Bearings,5,0.00,,
57,Inlet with light switch,,Electronics,Bin 2,3,0.00,Switches have been replaced,0wGE15MT7YI1i7PQtJoyAC.Photo.220925.jpg
58,Inlet with switch and fuse,Adams,Electronics,Bin 2,1,0.00,,kFCIf6rQtlC6a1QC2qAOVA.Photo.213233.jpg
153,Intertia cube i3 bearings,,Motion,Bin 4,1,0.00,"5 x pulley, 5x idler, 2 x lm12uu",RIkm2VpJmkCquu33pRs0Jw.Photo.224102.jpg
59,Klicky PCB kit,,Electronics,Bin 1,10,0.00,,LiUDjbVvK7p0XwaxRhuhpq.Photo.233212.jpg
60,Klipper expander board,,Electronics,Bin 1,2,0.00,,JmQeMQjoQ6uZQCGt6flxVX.Photo.234829.jpg
61,Kraken MCU,BTT,Electronics,Bin 2,1,0.00,,Ffn4cnHejvzv8FeycXfNMD.Photo.233901.jpg
62,LED Bar 5v 270mm,,Electronics,Bin 2,2,0.00,,orfEcDmtEs0C1ogOx5J7s7.Photo.235631.jpg
65,Led lightbar RGB 15 8mm,Mellow,Electronics,Bin 1,0,0.00,,moL7zDW1c3lkgIluCcCpoX.Photo.005315.jpg
63,Led light strip,,Electronics,Bin 1,1,0.00,,pqGxkVafyaMytUDhLlmf1n.Photo.010151.jpg
64,Led light strip 5v,,Electronics,Bin 1,1,0.00,,4y0t8JIt0EjTzRKnp89rb5.Photo.005640.jpg
155,Linear rail MGN12H 300mm,RDBB,Motion,Bin 1,1,0.00,,4GxErjdWwDiuPQXrDXhiPG.Photo.230707.jpg
154,Linear rail MGN9H 300mm,RDBB,Motion,Bin 1,2,0.00,,dU29Eip3G9ZD7MXXyAMlo9.Photo.230737.jpg
66,Lrs-350-24 psu,Meanwell,Electronics,Bin 4,1,0.00,,9EbeosLSReT77gBOobMs1z.Photo.222148.jpg
67,Manta mp8 MCU,BTT,Electronics,Bin 4,1,0.00,,Bbprq5M1uCd0uhesHaciRt.Photo.212228.jpg
68,Meanwell lrs-350-48,Meanwell,Electronics,Bin 2,2,0.00,,LunqiyWV2YcJYZ1vkcqqpz.Photo.211244.jpg
277,Melt zone extender sock mze,Triangle Labs,Misc,Hot End,5,0.00,,rzC1Tx55akDEP1r6YcAw6K.Photo.225608.jpg
159,MGN12h 350mm,,Motion,Bin 4,4,0.00,Inertia cube i3,v3ylPxhfxwZSiNcWPCsrs1.Photo.215442.jpg
160,MGN12h 350mm z2 x axis,Beseker,Motion,Bin 4,1,0.00,Inertia cube i3,Oo5as4fSDDNuMVXGmyLUC0.Photo.223421.jpg
156,MGN7H linear rail 150mm,Youmetong,Motion,Bin 2,1,0.00,Hex zero,nCEYE4z5658svjq91rlL5Q.Photo.233014.jpg
157,MGN9H 300mm,,Motion,Bin 4,1,0.00,Inertia cube i3,QgWz8nDoLy5EzOd9oTduoL.Photo.214248.jpg
158,MGN9H linear rail 200mm,Youmetong,Motion,Bin 2,1,0.00,Hex zero,RRu5Ywlz1T1RJX0X5pxHxY.Photo.233108.jpg
278,Micron build plate 185x185 glacier,Biqu,Misc,Bin 4,1,0.00,,yX9L7af6ntw4Y0WNpJqAZ0.Photo.211901.jpg
279,Micron cryogrip build plate,Biqu,Misc,Bin 3,1,0.00,,
69,Micro SD extension cable,,Electronics,Bin 4,1,0.00,,ISDjX43neVnyUGiaW3vXnj.Photo.151005.jpg
70,Misc thermistors,Generic,Electronics,Hot End,7,0.00,,B2IDXncGL1uhgnONlsSKNg.Photo.205822.jpg
71,MMB CAN v1.0,BTT,Electronics,Bin 1,1,0.00,,24dbZX3AEPhCuadHVW3F9s.Photo.231527.jpg
72,MMB EZ2209 drivers,BTT,Electronics,Bin 1,2,0.00,In the mmb box,3hST4Gvc9Kdh4oNSa5Qn9Z.Photo.231631.jpg
73,Motor 6v,,Electronics,Bin 2,6,0.00,Box turtle,UAwRtf7w1Kbm3uMLLb4XW7.Photo.000643.jpg
161,Motor Nema 14 36mm pancake,Moons,Motion,Bin 1,6,0.00,,AAxojwBSEtNfylCYxNG5cT.Photo.222422.jpg
162,Motor Nema 17,Stepper Online,Motion,Bin 1,5,0.00,,Y6zfWf9oW3soC9o8zsz2dC.Photo.224550.jpg
164,Motor Nema 17,LDO,Motion,Bin 1,1,0.00,,UNvVSqvybm84YyYVNnomyy.Photo.224059.jpg
163,Motor Nema 17,Moons,Motion,Bin 1,2,0.00,,JugvVaRXtnUCyV5TqWquwr.Photo.223102.jpg
165,Motor Nema 17 bj42d15,Ceality,Motion,Bin 1,2,0.00,,GgOijaSnemGVHz8R2n7WeL.Photo.223959.jpg
166,Motor Nema 17 bj42d22,Ceality,Motion,Bin 1,1,0.00,,K50vKFjZzo1oR73diTeokX.Photo.223843.jpg
167,Motor Nema 17 integrated leadscrew 300mm,Siboor,Motion,Bin 1,3,0.00,,9hhRkm0vcAFN4tOsh0ATqR.Photo.223441.jpg
235,Mze melt zone extender v6,Triangle Labs,Hardware,Hot End,2,0.00,,hu6TezDPtp0EJnu7ZVNgYN.Photo.205648.jpg
236,Mze melt zone extender v6,Generic,Hardware,Hot End,2,0.00,,6UtVKXdXMzfuBCRe1PEDYB.Photo.205721.jpg
74,Nema 14 36mm pancake,Generic,Electronics,Bin 2,5,0.00,Box turtle,v4yPiv3jcdhcAoOrFRm6Id.Photo.234547.jpg
75,Nema 14 36mm round,Generic,Electronics,Bin 4,2,0.00,Night owl,5hgf07IHWqdLY3R6pcJS5N.Photo.164559.jpg
76,Nema 17 HT 55 shaft,Stepper Online,Electronics,Bin 2,6,0.00,,ckVP0vvzXWwdDwgnJO0L7n.Photo.232333.jpg
168,Nema 17 integrated scree,Siboor,Motion,Bin 4,1,0.00,Inertia cube i3,isQflfal2hV1T40r7ztJxx.Photo.213923.jpg
77,Neo pixels,,Electronics,Bin 1,50,0.00,,LSq3is9A34EqsqI8z4vBlx.Photo.005425.jpg
78,Neopixels,,Electronics,Bin 4,50,0.00,,YR3tqdJxu26E7dSDekGmV3.Photo.222617.jpg
280,Nevermore carbon xl,Nevermore,Misc,Bin 2,4,0.00,,37lrGSUw4MQCyEgKkRoJyY.Photo.213922.jpg
281,Nevermore mini HEPA filter,Nevermore,Misc,Bin 2,5,0.00,,mEjkErbCDjzvdjs0R54cOf.Photo.194013.jpg
282,Nevermore mini kit,Nevermore,Misc,Bin 3,1,0.00,,7GGNWuunhQUIj8tKo7Ahi9.Photo.194049.jpg
79,Nevermore Stealthmax v2,Nevermore,Electronics,Bin 2,2,0.00,,mZv3oxBgd0dWn8BE30md1G.Photo.201613.jpg
80,Nfc stickers,,,Bin 2,100,0.00,,y7gKshmag5T1itkqU3h5b5.Photo.232035.jpg
81,Octopus 1.1 mcu,BTT,Electronics,Bin 1,2,0.00,,vaJfXlEJjTFYEGk1Ez6UbU.Photo.203026.jpg
82,Orbiter 2 Smart filament sensor,Mellow,Electronics,Hot End,1,0.00,,kPDkM2jiiPrR0Vpkin9GyZ.Photo.000438.jpg
169,Orbiter v 2.5 upgrade kit,LDO,Motion,Bin 4,1,0.00,Inertia cube i3,ORWDdkZIU533JlPfKQ0Ods.Photo.223334.jpg
83,Orbitor 2 toolboard,LDO,Electronics,,0,0.00,Used in Switchwire,wpbyj6dTjx2pfx3xt6emM6.Photo.232336.jpg
84,P1P thermistor and heater,,Electronics,Hot End,3,0.00,,hvQfihKXaTC36GPFS4GtVJ.Photo.220922.jpg
85,Panasonic 15amp ssr,,Electronics,Bin 2,1,0.00,,tUvnGfcZHtYFMLkaGPbarg.Photo.231928.jpg
237,Peek rubber feet bed,Fystec,Hardware,Bin 2,2,0.00,,nSnVqfpPjmBv14xI7ezwYc.Photo.211356.jpg
283,Pg7 cable gland,,Misc,Bin 4,15,0.00,,SnCoGQJcHt4DljHCIvPSUN.Photo.222959.jpg
284,PG7 cable glands,,Misc,Bin 3,16,0.00,,OISBo0vc5LdOF1F3mKe4BC.Photo.021939.jpg
285,Pg9 cable gland,,Misc,Bin 4,10,0.00,,zfT4ODQEyAs8hQZ82Yl4Lh.Photo.223023.jpg
86,Pi 4b 4gb,Raspberry Pi,Electronics,Bin 1,1,0.00,,ZSM2hLv84yQzjyqAIyvjEk.Photo.234142.jpg
87,Pi TFT50 DSi screen,BTT,Electronics,Bin 4,1,0.00,,hkHEbAZheFwn3X3lXpLRS4.Photo.212334.jpg
88,Pn532 NFC reader,,Electronics,Bin 2,5,0.00,,20athy02BjSJK0ENKiT4xE.Photo.000623.jpg
89,Power supply 25w 5v,Meanwell,Electronics,Bin 1,2,0.00,,RLsuWkG4rXsSWpuTd0J0Tl.Photo.202633.jpg
91,Power supply 350w 24v,Meanwell,Electronics,Bin 1,2,0.00,,PmSE3XIbqVuWI1n5mLBJaS.Photo.202524.jpg
90,Power supply 350w 24v,Changzhou Chuanglian,Electronics,Bin 1,1,0.00,,o1SnB43LhygMha0CfQRAJv.Photo.202440.jpg
286,Ptfe 3mm x 4mm 10m,,Misc,Bin 4,1,0.00,,9JV5rKTz6aD9QG05qB2Ugf.Photo.222522.jpg
287,PTFE tubing,,Misc,Bin 3,1,0.00,,ZC4qsI5vZiVneVAY2kT21K.Photo.023056.jpg
288,Quattro Box panels,,Misc,Bin 4,1,0.00,,HaE9EZUeaBtW8R4d4EtgRH.Photo.204800.jpg
170,Rail Kit Trident 300,,Motion,Bin 2,1,0.00,"MGN12h 350x1 MGN9H 350 x 2, MGN9H 300 x1",UJD1Af5TCp53pEX600aEmv.Photo.232613.jpg
92,Raspberry pi 4b 2gb,Raspberry Pi,Electronics,Bin 1,1,0.00,,VER3z3G850AA3iEi5RdaxI.Photo.234207.jpg
93,Raspberry Pi commute module 4,Raspberry Pi,Electronics,Bin 1,0,0.00,,uj4AGCYHIywzIFWxC9lINo.Photo.234240.jpg
238,Red lizard k1,,Hardware,Hot End,1,0.00,,HkEgxP09Gt2yzzgaPYGZD1.Photo.042724.jpg
289,Retractable reels,,Misc,Bin 3,2,0.00,,r9NDog2K2bEZQCv3rgkHM8.Photo.023558.jpg
94,Rgb led disco on a matchstick,Mellow,Electronics,Bin 4,2,0.00,,nsilwKtzNnt6L9h6EarbbT.Photo.210359.jpg
95,Rgb led disco on a stick 270mm,Mellow,,Bin 4,2,0.00,,sraLfcisQGx3TkluZAMP1n.Photo.214942.jpg
96,Rgb led Disco on a stick 370mm,Mellow,Electronics,Bin 4,2,0.00,,fySq0ROT6yKmRWnWhmIs8J.Photo.215021.jpg
97,RJ45 keystone,,Electronics,Bin 1,2,0.00,,Wh2Wk3NRgsYejpcfjeqH1A.Photo.021817.jpg
290,Rope gasket,,Misc,Bin 3,2,0.00,,jN6Sf4eGb4RIF6uA8Bd6Hg.Photo.022627.jpg
291,Rubber feet,,Misc,Bin 3,4,0.00,,aktPATWLb70n1Tlb7tuzat.Photo.203922.jpg
239,Rubber feet set of 4,,Hardware,Bin 4,2,0.00,Night owl,FhTXLwji6PfOPUqJ5NydJf.Photo.164953.jpg
292,Salad Fork 180 build plate,,Misc,Bin 3,1,0.00,,jHFa6hk9a0j0urVwqfIznV.Photo.224604.jpg
98,Salad fork 180 frame black,,,Bin 3,1,0.00,,OhwwNIadce6QZmF7e9x1Ht.Photo.232617.jpg
240,Salad Fork 180 hardware kit,,Hardware,Bin 4,1,0.00,,VCMLtCKq7SrpAwlrfdAAuC.Photo.211731.jpg
99,Salad fork 180 heater,,Electronics,Bin 3,1,0.00,320w,hKDaWSFJAqs8XGVGhamo1M.Photo.224944.jpg
293,Salad fork 180 magnetic sticker,,Misc,Bin 3,1,0.00,,9HiMFtqt8GDLUsAF31QXIE.Photo.225115.jpg
100,Salad fork 180 motors,Moons,,Bin 3,1,0.00,,0xOUuu71jYGZnbTsNLwBgY.Photo.232740.jpg
101,Salad fork 180 x and y linear rails,Beseker,,Bin 3,3,0.00,,SAF0avwypmhfnrPlvZxyT6.Photo.230711.jpg
171,Salad Fork 180 z linear rails,,Motion,Bin 4,3,0.00,,XsJxDBSdV1ca2bPLayvx1e.Photo.212025.jpg
241,Salad fork backlash,,Hardware,Bin 2,3,0.00,,WVJyoGQkXOFOqMmKI7yGm1.Photo.230535.jpg
294,Scorch Carbon,Nevermore,Misc,Bin 2,5,0.00,,atdsq1JOPZWHNDWHiWG4lJ.Photo.193819.jpg
102,Servo MG90s,,Electronics,Bin 1,5,0.00,,4gUSBvBSy1qJ33kWLcg1xQ.Photo.233016.jpg
103,Servo MG995R,,Electronics,Bin 1,1,0.00,,4qkNifOOCEYEgMlbW85DXd.Photo.232937.jpg
104,SGP40 seanor,,Electronics,Bin 1,4,0.00,,pQzGNQFPpRo7LYJg2xaBSI.Photo.225444.jpg
105,Sgp sensor,,Electronics,Bin 4,2,0.00,,lTuDNYhyyN26paQXxP5YOO.Photo.195011.jpg
106,Smart button,Aqara,Electronics,Bin 3,3,0.00,,SY9byoeUdXbpZYoThrDOdu.Photo.021352.jpg
107,Smart filament sensor,BTT,Electronics,Bin 4,2,0.00,,a1TbF4D3wrpoGPE9adcQnW.Photo.214106.jpg
108,Smart filament sensor v2,BTT,Electronics,Bin 1,2,0.00,,bhFt42pPXVdOSTLXAgne97.Photo.224701.jpg
109,Spider 1.1 mcu,Fystec,Electronics,Bin 1,2,0.00,,XLX6SiuobHfIZP0jmWWETt.Photo.203049.jpg
295,Spring steel,,Misc,Hot End,1,0.00,,k6hvDjKxPicxAIEqMV88sF.Photo.204954.jpg
296,Squash balls,,Misc,Bin 3,4,0.00,,CM5nC0WNGL9Ars21lP3PZj.Photo.201335.jpg
110,SSR,Omron,Electronics,Bin 1,1,0.00,,A0yuMpz60SnYz9sYCt8l15.Photo.021658.jpg
111,SSR 15a,Panasonic,Electronics,Bin 2,2,0.00,,Be5SkFoaAga4liWbxCp5Wg.Photo.213000.jpg
112,Ssr 15amp,Omron,Electronics,Bin 4,1,0.00,,0K78kgwjo85rSYxX0Hf0L6.Photo.194334.jpg
242,Stainless steel backers 300mm,,Hardware,Bin 3,1,0.00,,LwprT1DtL00U4B2afIA7d8.Photo.201650.jpg
297,Stealth changer shuttle cnc,Fystec,,Bin 2,1,0.00,,eXNgGzmb4Nl0EcmIvpQOJC.Photo.230848.jpg
113,Stealthmax pcb,Maker Panda,Electronics,Bin 1,1,0.00,One has a sensor timeout,SlmQAq5M4hYcLc1VTPnx0V.Photo.225603.jpg
298,Stealthmax round acrylic,,Misc,Bin 3,1,0.00,,
299,Steel balls 1.5 inch,,Misc,Bin 3,2,0.00,,G3DLWAqsQ6pyd3jdKPtZ4W.Photo.202027.jpg
114,Switch kcd-104,,Electronics,Bin 2,5,0.00,,cC9OczFBR7nG969BKBRxnQ.Photo.210114.jpg
243,Tap changer 2.4 300mm kit,,Hardware,Bin 4,1,0.00,,GaP9FZxiw1dowrkIR28YxY.Photo.164239.jpg
115,TD tester for hue forge,,Electronics,Bin 2,1,0.00,,ICMXDMBkdl3bIJ8c1KShsz.Photo.213757.jpg
300,The cloud fire extinguisher,Wham Bam,Misc,Bin 3,1,0.00,,DKEzseelFSGCFqvxDIICPp.Photo.193608.jpg
116,Thermistor,Winnsin,Electronics,Hot End,1,0.00,,1grGAr1mWDwz8ezU3cCP7U.Photo.022214.jpg
117,TMC2209 driver,Fystec,Electronics,Bin 1,6,0.00,,9Fjgz8xMbv5O4e9HhWYCD9.Photo.231947.jpg
118,TMC2209 Driver,BTT,Electronics,Bin 1,16,0.00,,KcxBS8ErXnIIHAZfKV1JAt.Photo.231831.jpg
119,TMC5160T Driver,BTT,Electronics,Bin 2,4,0.00,,G4sJj8qez93cMDy5xFNIcn.Photo.211017.jpg
120,Tmc5160t pro 1.0,BTT,Electronics,Bin 4,4,0.00,,4SHedTahFVlidlAYYrL0hY.Photo.210749.jpg
244,Toolhead standoff m3x18,,Hardware,Bin 4,20,0.00,,7wPWPZf5hdEbqrd5epYA2t.Photo.212601.jpg
245,Trident 350 frame,Fystec,Hardware,Bin 3,1,0.00,,N7MKF9gCsauk4x9cbKpFRA.Photo.193414.jpg
172,Trident 350mm motion kit,Fystec,Motion,Bin 1,1,0.00,,CFb31p1mG5SED3Vhoxdyft.Photo.224917.jpg
173,Trident CNC Kit,Siboor,Motion,Bin 4,1,0.00,,PYE2kcUrdXeb80r9zDTffD.Photo.211439.jpg
246,Tz v6 Bambu style v1,,Hardware,Hot End,3,0.00,,A0nsulKqeEOEyYvtm6zcMA.Photo.204936.jpg
247,Tz v6 Bambu style v2 hotend,,Hardware,Hot End,9,0.00,,pPZPVfXasJF2vd9F9OjLfm.Photo.203648.jpg
301,Tz v6 v2 Hotends Round,,Misc,,5,0.00,,qvIhW7Qhw1Nj68pZ0zqdLA.Photo.222346.jpg
121,U2C V2.1,BTT,Electronics,Bin 1,4,0.00,,y9KR3ziQt9q2Q76Pe47HhR.Photo.231233.jpg
122,Uhp-200 psu 24v,Meanwell,Electronics,Bin 4,1,0.00,,uzcESh5zAT9ENJGZut9NXE.Photo.211641.jpg
302,Universal turbo kit cpap,Biqu,,Bin 2,1,0.00,,LaeqgtzsvwVYx4vrYvbTHX.Photo.230015.jpg
123,USB A keystone,,Electronics,Bin 4,3,0.00,,dO1VpUTGmZPQx9w7fS4Qwf.Photo.225255.jpg
124,USB A right angle adapter,,Electronics,Bin 3,3,0.00,,BYdrgOQ3tAAFTgJCDESOKN.Photo.235747.jpg
126,USB cables,,Electronics,Bin 1,6,0.00,,hJA1BPRGnjZgNlVoM0ZKRR.Photo.233507.jpg
127,USB camera cable,,Electronics,Bin 1,5,0.00,,KTieCksF3OL5abfmCQpnaU.Photo.004417.jpg
125,USB c keystone,,Electronics,Bin 4,2,0.00,,xtDobeTB09K0PWLEBn5wXP.Photo.225331.jpg
128,Video flat cable,,Electronics,Bin 1,4,0.00,,FeVnT2y7TivWGHbis25aey.Photo.060908.jpg
203,Voron auxiliary fan kit,Fystec,Fans,Bin 1,2,0.00,,gIFDdx8QlnMOJtKEjBmVwD.Photo.232758.jpg
129,Wd2812b led strip,,Electronics,Bin 4,1,0.00,Quattro box,dKc7JCRk4BRNd7DzhbEaRB.Photo.222720.jpg
130,Webcam fov 120,,Electronics,Bin 1,3,0.00,,XefbuR61At6emtvv8FdF1n.Photo.005224.jpg
131,Webcam usb,Aukey,Electronics,Bin 1,2,0.00,,EcopBXBuQhAF1AlZRHeWYz.Photo.004517.jpg
303,Xol CNC carriage,,,Bin 2,1,0.00,,lr7ZiJctAmg32bw1aMNGke.Photo.230445.jpg
